t,std
200,0.023100819
205,0.0246886
210,0.024651184
215,0.024969408
220,0.025609003
225,0.025279924
230,0.02585613
235,0.026268588
240,0.026836398
245,0.026351998
250,0.02514066
255,0.024941497
260,0.0244483
265,0.024724229
270,0.02480871
275,0.024701197
280,0.024805785
285,0.02482517
290,0.024932177
295,0.024302737
300,0.023176927
305,0.020419122
310,0.017112829
315,0.01780755
320,0.017662579
325,0.016787329
330,0.016487391
335,0.015639048
340,0.015526273
345,0.01462039
350,0.01504648
355,0.016809254
360,0.018270383
365,0.01965333
370,0.019810824
375,0.020049627
380,0.020339066
385,0.020364572
390,0.021662852
395,0.021816894
400,0.022410284
405,0.023676975
410,0.02418789
415,0.024198506
420,0.024066145
425,0.02395921
430,0.02393488
435,0.023914986
440,0.023497524
445,0.022407401
450,0.021632613
455,0.021583839
460,0.020885277
465,0.020245424
470,0.019090819
475,0.018731881
480,0.019036748
485,0.019471533
490,0.019114098
495,0.016943957
500,0.0179891
505,0.018296095
510,0.017419916
515,0.017267415
520,0.018386048
525,0.018361862
530,0.019196647
535,0.019040788
540,0.019317323
545,0.019424988
550,0.019453261
555,0.019551396
560,0.020284547
565,0.022230272
570,0.022690019
575,0.023007236
580,0.023355275
585,0.028418756
590,0.034779691
595,0.0365343
600,0.03726451
605,0.037867603
610,0.037946032
615,0.039133997
620,0.039665395
625,0.039639081
630,0.040594485
635,0.040993874
640,0.04188134
645,0.041566501
650,0.041478876
655,0.042211992
660,0.045976168
665,0.046979987
670,0.04669576
675,0.046229199
680,0.046220231
685,0.046679538
690,0.044612848
695,0.039456696
700,0.037982047
705,0.036805959
710,0.036133001
715,0.038017181
720,0.037460479
725,0.038757984
730,0.040780058
735,0.041908576
740,0.041258244
745,0.040636975
750,0.041488113
755,0.042555368
760,0.041767564
765,0.036818334
770,0.035816169
775,0.040326855
780,0.041154024
785,0.041116312
790,0.041381031
795,0.041263346
800,0.042403149
805,0.043276665
810,0.0447347
815,0.045100798
820,0.044413661
825,0.045543801
830,0.045705127
835,0.043586818
840,0.041701841
845,0.041547943
850,0.041251335
855,0.040108386
860,0.038432455
865,0.038965182
870,0.039094153
875,0.039099803
880,0.035726113
885,0.035295117
890,0.035280385
895,0.035515354
